Date,Value
1-Jan-01,10.2
1-Feb-01,3.1
1-Mar-01,6.1
1-Apr-01,7.1
1-May-01,3.4
1-Jun-01,0
1-Jul-01,0.1
1-Aug-01,0.2
1-Sep-01,0.3
1-Oct-01,5.4
1-Nov-01,16.3
1-Dec-01,23.3
1-Jan-02,10.2
1-Feb-02,3.1
1-Mar-02,4.7
1-Apr-02,7.1
1-May-02,3.4
1-Jun-02,0
1-Jul-02,0.1
1-Aug-02,0.2
1-Sep-02,0.3
1-Oct-02,7.6
1-Nov-02,24.9
1-Dec-02,26
1-Jan-03,43.4
1-Feb-03,10.9
1-Mar-03,4.7
1-Apr-03,7.1
1-May-03,4.5
1-Jun-03,0
1-Jul-03,0.1
1-Aug-03,0.2
1-Sep-03,0.3
1-Oct-03,2.8
1-Nov-03,17.4
1-Dec-03,27.8
1-Jan-04,15.7
1-Feb-04,2.4
1-Mar-04,4.7
1-Apr-04,7.1
1-May-04,3.4
1-Jun-04,0
1-Jul-04,0.1
1-Aug-04,0.2
1-Sep-04,0.3
1-Oct-04,6.2
1-Nov-04,19.3
1-Dec-04,16.1
1-Jan-05,21.8
1-Feb-05,4.9
1-Mar-05,4.7
1-Apr-05,7.1
1-May-05,3.4
1-Jun-05,0
1-Jul-05,0.1
1-Aug-05,0.2
1-Sep-05,0.3
1-Oct-05,2.8
1-Nov-05,18
1-Dec-05,10.5
1-Jan-06,14.6
1-Feb-06,2.1
1-Mar-06,4
1-Apr-06,6.2
1-May-06,3
1-Jun-06,0
1-Jul-06,0.1
1-Aug-06,0.1
1-Sep-06,0.3
1-Oct-06,2.4
1-Nov-06,23.8
1-Dec-06,14.7
1-Jan-07,31.8
1-Feb-07,2.1
1-Mar-07,4
1-Apr-07,6.2
1-May-07,3
1-Jun-07,0
1-Jul-07,0.1
1-Aug-07,0.3
1-Sep-07,0.3
1-Oct-07,3.4
1-Nov-07,20.3
1-Dec-07,20.3
1-Jan-08,12.7
1-Feb-08,4
1-Mar-08,4
1-Apr-08,6.2
1-May-08,14.8
1-Jun-08,0
1-Jul-08,0.1
1-Aug-08,0.1
1-Sep-08,0.3
1-Oct-08,2.6
1-Nov-08,15.1
1-Dec-08,16.7
1-Jan-09,9.4
1-Feb-09,2.1
1-Mar-09,14.4
1-Apr-09,6.2
1-May-09,3
1-Jun-09,0
1-Jul-09,0.1
1-Aug-09,0.1
1-Sep-09,0.3
1-Oct-09,2.5
1-Nov-09,19.1
1-Dec-09,13.1
1-Jan-10,11
1-Feb-10,2.1
1-Mar-10,4
1-Apr-10,6.2
1-May-10,3
1-Jun-10,0
1-Jul-10,0.1
1-Aug-10,0.1
1-Sep-10,0.3
1-Oct-10,3
1-Nov-10,16
1-Dec-10,10
1-Jan-11,8.9
1-Feb-11,7.1
1-Mar-11,4
1-Apr-11,6.2
1-May-11,3
1-Jun-11,0
1-Jul-11,0.3
1-Aug-11,0.1
1-Sep-11,0.3
1-Oct-11,4.8
1-Nov-11,34.5
